Date,Open,High,Low,Close,Adj Close,Volume
2016-12-28,29.379999,29.504999,29.049999,29.190001,27.604153,83623600
2016-12-29,29.112499,29.277500,29.100000,29.182501,27.597061,60158000
2016-12-30,29.162500,29.299999,28.857500,28.955000,27.381918,122345200
2017-01-03,28.950001,29.082500,28.690001,29.037500,27.459938,115127600
2017-01-04,28.962500,29.127501,28.937500,29.004999,27.429203,84472400
2017-01-05,28.980000,29.215000,28.952499,29.152500,27.568691,88774400
2017-01-06,29.195000,29.540001,29.117500,29.477501,27.876030,127007600
2017-01-09,29.487499,29.857500,29.485001,29.747499,28.131361,134247600
2017-01-10,29.692499,29.844999,29.575001,29.777500,28.159733,97848400
2017-01-11,29.684999,29.982500,29.650000,29.937500,28.311039,110354400
2017-01-12,29.725000,29.825001,29.552500,29.812500,28.192831,108344800
2017-01-13,29.777500,29.905001,29.702499,29.760000,28.143188,104447600
2017-01-17,29.584999,30.059999,29.555000,30.000000,28.370150,137759200
2017-01-18,30.000000,30.125000,29.927500,29.997499,28.367781,94852000
2017-01-19,29.850000,30.022499,29.842501,29.945000,28.318136,102389200
2017-01-20,30.112499,30.112499,29.932501,30.000000,28.370150,130391600
2017-01-23,30.000000,30.202499,29.942499,30.020000,28.389057,88200800
2017-01-24,29.887501,30.025000,29.875000,29.992500,28.363052,92844000
2017-01-25,30.105000,30.525000,30.070000,30.469999,28.814610,129510400
2017-01-26,30.417500,30.610001,30.400000,30.485001,28.828796,105350400
2017-01-27,30.535000,30.587500,30.400000,30.487499,28.831160,82251600
2017-01-30,30.232500,30.407499,30.165001,30.407499,28.755507,121510000
2017-01-31,30.287500,30.347500,30.155001,30.337500,28.689308,196804000
2017-02-01,31.757500,32.622501,31.752501,32.187500,30.438799,447940000
2017-02-02,31.995001,32.347500,31.945000,32.132500,30.386791,134841600
2017-02-03,32.077499,32.297501,32.040001,32.270000,30.516821,98029200
2017-02-06,32.282501,32.625000,32.224998,32.572498,30.802887,107383600
2017-02-07,32.634998,33.022499,32.612499,32.882500,31.096045,152735200
2017-02-08,32.837502,33.055000,32.805000,33.009998,31.216612,92016400
2017-02-09,32.912498,33.112499,32.779999,33.105000,31.442188,113399600
2017-02-10,33.115002,33.235001,33.012501,33.029999,31.370947,80262000
2017-02-13,33.270000,33.455002,33.187500,33.322498,31.648762,92141600
2017-02-14,33.367500,33.772499,33.312500,33.755001,32.059544,132904800
2017-02-15,33.880001,34.067501,33.654999,33.877499,32.175884,142492400
2017-02-16,33.917500,33.974998,33.709999,33.837502,32.137894,90338400
2017-02-17,33.775002,33.957500,33.775002,33.930000,32.225754,88792800
2017-02-21,34.057499,34.187500,33.994999,34.174999,32.458447,98028800
2017-02-22,34.107498,34.279999,34.027500,34.277500,32.555794,83347600
2017-02-23,34.345001,34.369999,34.075001,34.132500,32.418076,83152800
2017-02-24,33.977501,34.165001,33.820000,34.165001,32.448948,87106400
2017-02-27,34.285000,34.360001,34.070000,34.232498,32.513054,81029600
2017-02-28,34.270000,34.360001,34.174999,34.247501,32.527302,93931600
2017-03-01,34.472500,35.037498,34.400002,34.947498,33.192142,145658400
2017-03-02,35.000000,35.070000,34.689999,34.740002,32.995064,104844000
2017-03-03,34.695000,34.957500,34.647499,34.945000,33.189762,84432400
2017-03-06,34.842499,34.942501,34.650002,34.834999,33.085289,87000000
2017-03-07,34.764999,34.994999,34.697498,34.880001,33.128029,69785200
2017-03-08,34.737499,34.950001,34.705002,34.750000,33.004562,74828800
2017-03-09,34.685001,34.697498,34.262501,34.669998,32.928577,88623600
2017-03-10,34.812500,34.840000,34.660000,34.785000,33.037796,78451200
2017-03-13,34.712502,34.857498,34.705002,34.799999,33.052044,69686800
